1	20
2	16
3	1411
4	1176
5	812
6	889
7	893
8	569
9	623
10	470
11	87
12	575
13	544
14	305
15	735
16	627
17	65
19	819
20	610
21	447
22	447
23	192
24	22
25	767
26	697
27	508
28	224
29	523
30	44
32	802
33	871
34	976
35	479
36	174
39	762
40	812
41	488
42	348
43	468
44	351
45	418
47	592
48	436
49	590
50	208
51	314
53	401
54	544
55	468
56	335
57	261
58	44
59	19
60	732
61	436
62	407
63	303
64	261
66	470
67	457
68	346
69	367
70	418
71	44
72	401
73	479
74	305
75	240
76	227
77	22
79	157
80	501
81	366
82	16
83	17
85	415
86	453
87	327
88	264
89	112
90	279
92	488
93	523
94	346
95	367
96	314
97	22
99	540
100	261
101	244
102	319
103	314
104	131
105	245
106	35
107	607
108	488
110	488
111	544
112	468
113	303
114	261
115	22
117	348
118	414
119	346
120	176
121	505
122	22
123	366
124	370
125	488
126	176
127	174
129	401
130	436
131	183
132	240
133	314
136	418
137	544
138	468
139	303
140	192
141	218
142	170
143	17
144	527
145	261
146	65
148	401
149	305
150	244
151	240
152	244
155	418
156	653
157	122
158	208
159	348
161	418
162	348
163	366
164	224
165	331
166	65
168	436
169	283
170	325
171	128
172	261
173	22
175	418
176	305
177	264
178	144
179	331
180	22
182	261
183	544
184	163
185	96
186	192
188	331
189	370
190	244
191	240
192	418
193	65
194	296
195	436
196	264
197	176
198	139
200	418
201	218
202	264
203	160
204	105
205	44
206	505
207	414
208	41
209	208
210	296
211	44
213	610
214	392
215	264
216	224
217	227
218	22
220	418
221	501
222	346
223	240
224	244
225	109
226	470
227	501
228	325
229	447
230	314
232	418
233	479
234	386
235	16
237	547
238	383
239	523
240	508
241	335
242	314
243	44
244	321
245	366
247	17
249	19
250	1111
251	630
252	479
253	348
254	305
255	19
256	488
257	784
258	650
259	192
260	366
261	44
262	558
263	871
264	386
265	335
266	453
267	44
268	558
269	501
270	305
271	335
272	540
273	44
274	592
275	479
276	386
277	287
278	540
279	65
280	470
281	784
282	447
283	160
284	523
285	65
286	523
287	261
288	305
289	176
290	383
291	22
293	453
294	675
295	488
296	351
297	418
298	65
299	505
300	588
301	508
302	192
303	227
304	131
305	453
306	544
307	447
308	272
309	366
310	65
311	592
312	436
313	630
314	351
315	488
316	44
317	401
318	457
319	366
320	256
321	366
322	109
323	383
324	327
325	1084
326	1453
327	232
328	1436
329	993
330	1064
331	635
332	828
333	127
334	777
335	739
336	611
337	743
338	541
339	106
340	912
341	739
342	966
343	589
344	794
345	42
346	311
347	895
348	1119
349	394
350	77
353	1081
354	993
356	1064
357	824
358	769
359	589
360	406
361	42
362	18
363	760
364	824
365	591
366	387
367	507
368	63
370	558
371	972
372	670
373	480
374	389
375	21
377	558
378	803
379	513
380	387
381	304
382	127
383	541
384	549
385	591
386	387
387	338
388	63
389	625
390	824
391	434
392	232
393	372
394	42
395	473
396	528
397	828
398	263
399	558
400	42
402	406
403	380
404	611
405	465
406	287
409	34
410	781
411	710
412	356
413	338
414	21
415	439
416	444
417	355
418	449
419	456
420	84
422	541
423	824
424	355
425	356
426	693
427	21
428	473
429	465
430	355
433	842
434	524
435	655
436	552
437	527
438	270
440	372
441	570
442	335
443	248
444	389
445	21
446	18
447	574
448	465
449	197
450	248
451	321
453	456
454	380
455	177
456	248
457	270
458	84
460	697
461	434
462	279
463	507
464	42
466	439
467	275
468	197
469	341
470	287
471	106
472	507
473	507
474	375
475	217
476	439
477	21
478	439
479	612
480	532
481	356
482	253
483	42
484	372
485	718
486	493
487	294
488	304
489	21
490	355
491	549
492	414
493	170
494	372
496	287
497	380
498	276
499	341
500	321
501	21
502	203
503	317
504	394
505	387
506	237
508	270
509	422
510	237
511	279
512	338
514	524
515	507
516	276
517	170
518	406
519	84
520	422
521	338
522	315
523	201
524	220
525	63
526	422
527	338
528	572
529	403
530	203
531	127
533	338
534	380
535	217
536	263
537	406
538	21
539	676
540	655
541	473
542	232
543	406
544	21
545	570
546	473
547	294
548	355
549	84
550	439
551	528
552	217
553	232
554	406
555	84
556	507
557	549
558	355
559	310
560	355
561	63
562	128
563	490
564	570
565	20
568	848
569	558
570	473
571	380
573	743
574	486
575	532
576	310
577	237
578	21
579	338
580	528
581	453
582	170
583	304
584	42
585	355
586	655
587	296
588	341
589	270
591	507
592	465
593	276
594	325
595	338
596	21
597	372
598	422
599	414
600	217
601	338
602	42
604	574
605	528
606	315
607	279
608	253
609	42
610	372
611	486
612	375
613	279
614	237
615	63
616	507
617	486
618	473
619	356
620	220
621	42
622	490
623	739
624	473
625	310
626	574
627	21
628	422
629	422
630	434
631	279
632	287
633	21
634	253
635	612
636	473
637	155
638	321
639	84
641	507
642	275
643	158
644	17
645	1642
646	1312
647	2102
648	992
649	1254
650	758
651	439
652	795
653	1132
654	539
655	695
656	832
657	69
659	573
660	716
661	862
662	559
663	591
664	116
666	462
667	693
668	625
669	745
670	573
671	46
672	776
673	762
674	1035
675	576
676	665
677	69
678	906
679	1363
680	884
681	762
682	813
683	162
684	440
685	1423
686	485
687	23
688	970
689	932
690	702
691	416
692	758
693	855
694	431
695	356
696	388
697	139
698	351
699	624
700	345
701	390
702	444
703	69
704	573
705	693
706	798
707	288
708	573
709	208
710	758
711	785
712	582
713	407
714	684
715	116
716	536
717	531
718	496
719	373
720	444
723	1086
724	819
725	271
726	407
727	46
728	20
729	462
730	462
731	259
732	356
733	240
734	46
735	536
736	924
737	410
738	220
739	296
740	46
741	480
742	716
743	453
744	390
746	610
747	485
748	711
749	407
750	554
751	46
752	462
753	647
754	367
755	322
756	277
757	92
758	610
759	601
760	431
761	237
762	296
763	139
764	333
765	508
766	323
767	186
768	425
769	23
770	407
771	439
772	388
773	288
774	222
775	46
776	407
777	439
778	302
779	203
780	314
781	46
782	333
783	485
784	216
785	136
786	240
788	647
789	388
790	152
791	425
792	23
793	407
794	393
795	496
796	152
797	222
798	139
799	296
800	670
801	431
802	186
803	240
804	69
805	425
806	485
807	302
808	220
809	296
811	185
812	508
813	345
814	186
815	259
817	166
818	416
819	259
820	237
821	185
822	69
823	499
824	739
825	280
826	322
827	259
828	46
829	203
830	208
831	388
832	254
833	351
834	23
835	370
836	393
837	367
838	254
839	296
840	46
842	444
843	578
844	280
845	186
846	166
847	46
848	20
849	499
850	462
851	496
853	501
854	388
